Page,Paragraph_ID,Word_Count,Open_Codes,Original_Text_Snippet
3,P3_1,535,Access layer abstraction; Resilient infrastructure; Security protection boundary; Power over Ethernet delivery,© 2020 Cisco and/or its affiliates. All rights reserved. Page 3 of 76 Definition and Introduction: Campus LAN and Wireless LAN There is a tendency to ...
4,P4_1,294,Security protection boundary; Guest access isolation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 4 of 76 ● The network platforms deployed today should offer the best longevity into the ...
5,P5_1,594,Access layer abstraction; Distribution layer aggregation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 5 of 76 Design: Campus LAN and Wireless LAN Designing a LAN for the campus use case is n...
6,P6_1,327,Hierarchical design model; Access layer abstraction; Distribution layer aggregation; Core layer transport; Resilient infrastructure,© 2020 Cisco and/or its affiliates. All rights reserved. Page 6 of 76 Design Fundamentals: Campus Wired LAN The LAN is the networking infrastructure t...
7,P7_1,166,Access layer abstraction; Distribution layer aggregation; Resilient infrastructure; Security protection boundary,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 7 of 76 LAN hierarchical design Figure 1. Each layer —access, distribution, and core— pr..."
8,P8_1,454,Access layer abstraction; Logical network/VLAN separation; Resilient infrastructure; Security protection boundary; Power over Ethernet delivery,© 2020 Cisco and/or its affiliates. All rights reserved. Page 8 of 76 Access layer connectivity Figure 3. ● Device connectivity—The access layer provi...
9,P9_1,429,General infrastructure capability,© 2020 Cisco and/or its affiliates. All rights reserved. Page 9 of 76 the speed at which the port will be operating. Although an mGig switch port may ...
10,P10_1,513,Access layer abstraction,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 10 of 76 When adding additional access layer switches in a stackable configuration, you ..."
11,P11_1,461,Access layer abstraction; Distribution layer aggregation,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 11 of 76 switch of the stack fails, you don’t have a double failure – meaning that you l..."
12,P12_1,661,Access layer abstraction; Distribution layer aggregation,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 12 of 76 For example, instead of deploying four 48-port switches with fixed 4 x 10 Gbps ..."
13,P13_1,464,Access layer abstraction; Distribution layer aggregation; Resilient infrastructure,© 2020 Cisco and/or its affiliates. All rights reserved. Page 13 of 76 traffic which is more susceptible to packet loss – such as voice traffic – is g...
14,P14_1,162,Access layer abstraction; Distribution layer aggregation; Core layer transport,© 2020 Cisco and/or its affiliates. All rights reserved. Page 14 of 76 edge may reside on a distribution layer switch that also aggregates the LAN acc...
15,P15_1,309,Access layer abstraction; Distribution layer aggregation; Core layer transport,© 2020 Cisco and/or its affiliates. All rights reserved. Page 15 of 76 ● Network resilience is a factor when all LAN and network-based services rely o...
