title,company,location,site,job_url,description,search_keyword,date_posted
IT System Administrator,Manpower,"Vũng Tàu, SG, VN",indeed,https://vn.indeed.com/viewjob?jk=bc87e622787a7607,"**Mô tả công việc:**


(Mức lương: Thỏa thuận)* Manage and administer Server systems, Active Directory, DNS, and DHCP.
* Administer network infrastructure, including Wireless, Firewall, and VPN systems.
* Operate, monitor, and maintain VMware/Hyper\-V virtualization environments.
* Manage databases, information systems, and VoIP solutions.
* Develop and maintain Monitoring, Reporting, and Data Backup systems.
* Ensure the security, stability, and performance of the company's IT.

**Chức vụ:** Nhân Viên/Chuyên Viên

**Hình thức làm việc:** Toàn thời gian

**Quyền lợi được hưởng:**

* Full statutory insurance coverage, including Social Insurance, Health Insurance, and Unemployment Insurance (based on 100% basic salary).
* Personal healthcare insurance.
* Annual health check\-up.
* Overtime compensation in accordance with Vietnamese Labor Law.
* Attractive compensation package including Gross Salary, Allowances, and Monthly KPI Bonus.
* 12 annual leave days per year.
* Professional working environment with opportunities for learning and career development.

**Yêu cầu bằng cấp (tối thiểu):** Đại Học

**Yêu cầu công việc:**

* Bachelor's degree in Information Technology, Telecommunications, Computer Engineering, or a related field.
* Minimum 3 years of experience in System Administration or IT Security.
* Strong knowledge of LAN/WAN, Servers, Storage, Firewall, VPN, DNS, and DHCP.
* Hands\-on experience with VMware/Hyper\-V, Microsoft SQL Server, SAN Storage, and VoIP systems.
* English proficiency equivalent to TOEIC 550\+.
* CCNA, CCNP, MCSE, VCAP, or equivalent certifications are preferred.

**Yêu cầu giới tính:** Nam/Nữ

**Ngành nghề:** Hạ Tầng \- Mạng,Vận Hành IT \- IT Helpdesk


  

Đại Học
  

3 \- 4 năm",IT Helpdesk,2026-08-06
IT HELPDESK QUẬN 7 HCM (~22m),VPDD HR PLUS tại HCM,"Thành phố Hồ Chí Minh, SG, VN",indeed,https://vn.indeed.com/viewjob?jk=9808dd5b9f09f35a,"Công ty hoạt động trong lĩnh vực thiết kế, thi công, bán và cho thuê các thiết bị thi công công trình tuyển dụng :

Vị trí : IT Helpdesk

Thời gian làm việc :

– Từ 8:00\-17:00 từ thứ 2 đến thứ 6

\* Được nghỉ Thứ 7, chủ nhật và 1 ngày vào tháng sinh nhật

Số lượng tuyển : 01

Địa điểm làm việc : Quận 7 – Tp Hồ Chí Minh.

Nội dung công việc :

– Quản lý máy tính công ty, email, mạng, giấy phép, v.v., thư, trực tiếp, depoc, đăng ký tài khoản tồn đọng

– Quản lý PC: Thiết lập (cài đặt ban đầu), quản lý hàng tồn kho và khắc phục sự cố (phần cứng và phần mềm) cho PC của nhân viên (Windows).

– Quản lý giấy phép: Kiểm kê, gia hạn và tối ưu hóa các giấy phép phần mềm khác nhau (Microsoft 365, v.v.).

– Mạng: Bảo trì và quản lý môi trường mạng LAN và Wi\-Fi của công ty, ứng phó ban đầu trong trường hợp mất điện, thiết lập bảo mật và tuân thủ hướng dẫn từ bộ phận CNTT Nhật Bản.

– Máy chủ/Đám mây: Giám sát hoạt động cơ bản của máy chủ tệp và cơ sở hạ tầng đám mây của công ty như Azure (bao gồm cả hợp tác với các nhà cung cấp)

Yêu cầu :

– Bằng cử nhân CNTT

– Trình độ tiếng Nhật tương đương N4 ( có thể giao tiếp là điểm cộng)

– Từ 2 năm kinh nghiệm IT Helpdesk

– Kỹ năng làm việc nhóm

Chế độ :

– Lương: Up to 22tr

– Chế độ bảo hiểm, khám sức khỏe theo luật nhà nước.

– Lương tháng 13

– Đánh giá tăng lương rõ ràng\- Hằng năm du lịch, quà Tết,…

Mục lương: Lên đến 22\.000\.000₫ một tháng

Địa điểm việc làm: Làm việc trực tiếp",IT Helpdesk,2026-08-06
Nhân Viên IT Helpdesk,CÔNG TY CỔ PHẦN THƯƠNG MẠI HI-FOODS,"Thành phố Hồ Chí Minh, SG, VN",indeed,https://vn.indeed.com/viewjob?jk=7e7a1feca3e32e45,"**Mô tả công việc:**


(Mức lương: 9 \- 12 triệu VNĐ)* Quản lý và vận hành mạng WAN, LAN, Tổng đài điện thoại hoạt động thông suốt.
* Cài đặt phần mềm ứng dụng văn phòng, thường xuyên cập nhật các công cụ phòng chống virus, spam, spyware cho máy tính.
* Thiết lập, bảo trì, bảo dưỡng, nâng cấp hệ thống mạng máy tính định kỳ/theo kế hoạch.
* Quản lý Mail Server, khởi tạo và phân quyền Mail nội bộ, khắc phục các sự cố về mail.
* Kiểm soát toàn bộ các Account, Password Mail liên quan của các cá nhân, phòng ban trong công ty.
* Kiểm soát và chịu trách nhiệm trực tiếp trong việc quản lý và bảo mật dữ liệu thông tin nội bộ công ty.
* Tiếp nhận thông tin và xử lý sự cố máy tính, máy in, các thiết bị CNTT.
* Thực hiện công việc khác do Trưởng bộ phận phân công.

**Chức vụ:** Nhân Viên/Chuyên Viên

**Hình thức làm việc:** Toàn thời gian

**Quyền lợi được hưởng:**

* Làm việc 5 ngày/tuần: từ thứ 2 đến thứ 6 (nghỉ thứ 7, Chủ nhật)
* Tham gia đầy đủ các chính sách theo Luật Lao động hiện hành (BHXH, nghỉ phép, …)
* Review lương 2 lần/năm
* Được cấp máy tính làm việc
* Du lịch công ty, Teambuilding
* Thưởng hiệu suất làm việc
* Thưởng thâm niên, Lễ, Tết, lương tháng 13,14
* Tham gia các khóa đào tạo nội bộ công ty
* Lộ trình thăng tiến rõ ràng, cơ hội nghề nghiệp bền vững.

**Yêu cầu bằng cấp (tối thiểu):** Trung cấp

**Yêu cầu công việc:**

* Nam/Nữ, từ 25 \- 40 tuổi, thích môi trường làm việc năng động.
* Có tối thiểu 01 năm kinh nghiệm ở vị trí tương đương.
* Tốt nghiệp Trung cấp trở lên các ngành Công nghệ thông tin, …
* Sử dụng thành thạo các công cụ hỗ trợ IT helpdesk, Microsoft Office, …
* Nhanh nhẹn, chịu khó, có trách nhiệm và chịu được áp lực.
* Có kinh nghiệm về quản trị mạng và mô hình chuỗi cửa hàng/dịch vụ là một lợi thế.
* Kỹ năng giao tiếp, xử lý vấn đề

**Yêu cầu giới tính:** Nam/Nữ

**Ngành nghề:** Hạ Tầng \- Mạng,Vận Hành IT \- IT Helpdesk


  

Trung cấp
  

1 \- 2 năm",IT Helpdesk,2026-08-05
Thực Tập Sinh Hỗ Trợ IT,,"Thành phố Hồ Chí Minh, SG, VN",indeed,https://vn.indeed.com/viewjob?jk=2d981b788137c149,"**Mô tả công việc:**


(Mức lương: Từ 1 triệu VNĐ)* Hỗ trợ cài đặt, kiểm tra và xử lý các sự cố máy tính, phần mềm, mạng nội bộ.
* Hỗ trợ quản lý, bảo trì hệ thống máy tính, thiết bị văn phòng.
* Hỗ trợ người dùng trong công ty về các vấn đề kỹ thuật IT cơ bản.
* Tham gia hỗ trợ các dự án IT (nếu có).
* Ghi nhận, theo dõi và báo cáo các sự cố phát sinh.
* Thực hiện các công việc khác theo hướng dẫn của quản lý.

**Chức vụ:** Thực Tập Sinh

**Hình thức làm việc:** Toàn thời gian

**Quyền lợi được hưởng:**

* Lương phụ cấp: 1 triệu VNĐ/ tháng
* Được đào tạo, có cơ hội làm việc chính thức tại công ty.
* Môi trường trẻ trung, năng động, được tạo tối đa điều kiện phát huy năng lực chuyên môn và phát triển sự nghiệp.
* Được cấp thiết bị làm việc

**Yêu cầu bằng cấp (tối thiểu):** Cao Đẳng

**Yêu cầu công việc:**

* Sinh viên năm 3–4 hoặc mới tốt nghiệp ngành CNTT hoặc liên quan.
* Có kiến thức cơ bản về máy tính, mạng, phần mềm.
* Biết cài đặt Windows, phần mềm văn phòng, xử lý lỗi cơ bản.
* Có tinh thần học hỏi, chủ động, trách nhiệm trong công việc.
* Kỹ năng giao tiếp tốt, hỗ trợ người dùng hiệu quả.
* Kiến thức về các hệ thống mạng và phần mềm.
* Kỹ năng giải quyết vấn đề tốt.
* Tinh thần cầu tiến và ham học hỏi.

**Yêu cầu giới tính:** Nam/Nữ

**Ngành nghề:** Hành Chính Tổng Hợp,Phần Cứng \- Lập Trình Nhúng,Phát Triển Kinh Doanh,Vận Hành IT \- IT Helpdesk


  

Cao Đẳng
  

Không yêu cầu",IT Helpdesk,2026-08-05
Kỹ Thuật Viên Tại Bà Rịa - Vũng Tàu,Chi nhánh Vũng Tàu- Công ty Cổ phần Viễn Thông FPT,"Vũng Tàu, SG, VN",indeed,https://vn.indeed.com/viewjob?jk=aca92c174e6f26b0,"**Mô tả công việc:**


(Mức lương: 8 \- 20 triệu VNĐ)* Tiếp nhận, kiểm tra, chẩn đoán các sự cố, lỗi kỹ thuật của thiết bị, đường truyền.
* Tiến hành lắp đặt, cài đặt, cấu hình các thiết bị điện tử, viễn thông mới tại văn phòng hoặc địa điểm của khách hàng.
* Thực hiện công tác bảo trì định kỳ, kiểm tra hoạt động ổn định của hệ thống thiết bị.
* Ghi nhận chi tiết thông tin sự cố, quá trình sửa chữa, kết quả kiểm tra và các giải pháp đã thực hiện vào hệ thống báo cáo.
* Hỗ trợ kỹ thuật, giải đáp thắc mắc cho người dùng hoặc khách hàng về việc vận hành và sử dụng thiết bị.

**Chức vụ:** Nhân Viên/Chuyên Viên

**Hình thức làm việc:** Toàn thời gian

**Quyền lợi được hưởng:**

* Mức lương cạnh tranh, hấp dẫn, thỏa thuận theo năng lực và kinh nghiệm thực tế.
* Tham gia đầy đủ các chế độ bảo hiểm theo quy định của pháp luật (BHXH, BHYT, BHTN).
* Hưởng các chế độ phúc lợi khác theo quy định của công ty: nghỉ lễ, thưởng các dịp lễ Tết, lương tháng 13, khám sức khỏe định kỳ.
* Được đào tạo nâng cao nghiệp vụ chuyên môn, kỹ năng làm việc liên tục trong quá trình làm việc.
* Cơ hội thăng tiến rõ ràng trong môi trường làm việc chuyên nghiệp, năng động.
* Tham gia các hoạt động gắn kết đội nhóm, teambuilding, du lịch hàng năm của công ty.

**Yêu cầu bằng cấp (tối thiểu):** Trung cấp

**Yêu cầu công việc:**

* Không yêu cầu kinh nghiệm. Ứng viên mới tốt nghiệp hoặc chưa có kinh nghiệm sẽ được đào tạo.
* Tốt nghiệp Cao đẳng/Trung cấp trở lên các chuyên ngành Điện, Điện tử, Viễn thông, Cơ điện tử hoặc các ngành liên quan.
* Cẩn thận, tỉ mỉ, có trách nhiệm trong công việc và tinh thần học hỏi cao.
* Sức khỏe tốt, có khả năng di chuyển và làm việc ngoài giờ khi cần thiết.

**Yêu cầu giới tính:** Nam

**Ngành nghề:** Cơ Điện Tử,Hạ Tầng \- Mạng,Vận Hành IT \- IT Helpdesk,Điện \- Điện Công Nghiệp,Điện Dân Dụng


  

Trung cấp
  

Không yêu cầu",IT Helpdesk,2026-08-05
Nhân Viên Lắp Đặt - Bảo Trì tại Phú Mỹ,Chi nhánh Vũng Tàu- Công ty Cổ phần Viễn Thông FPT,"Vũng Tàu, SG, VN",indeed,https://vn.indeed.com/viewjob?jk=698307bf5de7f4e2,"**Mô tả công việc:**


(Mức lương: 8 \- 20 triệu VNĐ)* Tiếp nhận, kiểm tra, chẩn đoán các sự cố, lỗi kỹ thuật của thiết bị, đường truyền.
* Tiến hành lắp đặt, cài đặt, cấu hình các thiết bị điện tử, viễn thông mới tại văn phòng hoặc địa điểm của khách hàng.
* Thực hiện công tác bảo trì định kỳ, kiểm tra hoạt động ổn định của hệ thống thiết bị.
* Ghi nhận chi tiết thông tin sự cố, quá trình sửa chữa, kết quả kiểm tra và các giải pháp đã thực hiện vào hệ thống báo cáo.
* Hỗ trợ kỹ thuật, giải đáp thắc mắc cho người dùng hoặc khách hàng về việc vận hành và sử dụng thiết bị.

**Chức vụ:** Nhân Viên/Chuyên Viên

**Hình thức làm việc:** Toàn thời gian

**Quyền lợi được hưởng:**

* Mức lương cạnh tranh, hấp dẫn, thỏa thuận theo năng lực và kinh nghiệm thực tế.
* Tham gia đầy đủ các chế độ bảo hiểm theo quy định của pháp luật (BHXH, BHYT, BHTN).
* Hưởng các chế độ phúc lợi khác theo quy định của công ty: nghỉ lễ, thưởng các dịp lễ Tết, lương tháng 13, khám sức khỏe định kỳ.
* Được đào tạo nâng cao nghiệp vụ chuyên môn, kỹ năng làm việc liên tục trong quá trình làm việc.
* Cơ hội thăng tiến rõ ràng trong môi trường làm việc chuyên nghiệp, năng động.
* Tham gia các hoạt động gắn kết đội nhóm, teambuilding, du lịch hàng năm của công ty.

**Yêu cầu bằng cấp (tối thiểu):** Trung cấp

**Yêu cầu công việc:**

* Không yêu cầu kinh nghiệm. Ứng viên mới tốt nghiệp hoặc chưa có kinh nghiệm sẽ được đào tạo.
* Tốt nghiệp Cao đẳng/Trung cấp trở lên các chuyên ngành Điện, Điện tử, Viễn thông, Cơ điện tử hoặc các ngành liên quan.
* Cẩn thận, tỉ mỉ, có trách nhiệm trong công việc và tinh thần học hỏi cao.
* Sức khỏe tốt, có khả năng di chuyển và làm việc ngoài giờ khi cần thiết.

**Yêu cầu giới tính:** Nam

**Ngành nghề:** Cơ Điện Tử,Hạ Tầng \- Mạng,Vận Hành IT \- IT Helpdesk,Điện \- Điện Công Nghiệp,Điện Dân Dụng


  

Trung cấp
  

Không yêu cầu",IT Helpdesk,2026-08-05
Thực Tập Sinh IT Helpdesk - Nhận Thực Tập Trái Ngành - Hỗ Trợ Báo Cáo Thực Tập Và Dấu Mộc [G2],Bellsystem24 VietNam,"Thành phố Hồ Chí Minh, SG, VN",indeed,https://vn.indeed.com/viewjob?jk=04270bf3a7fdb36b,"**Mô tả công việc:**


(Mức lương: Thỏa thuận)* Hỗ trợ cài đặt, bảo trì và sửa chữa phần cứng máy tính.
* Hỗ trợ quản trị hệ thống, mạng nội bộ.
* Kiểm tra, xử lý các sự cố kỹ thuật cơ bản.
* Hỗ trợ các công việc IT khác theo phân công.

**Chức vụ:** Thực Tập Sinh

**Hình thức làm việc:** Toàn thời gian

**Quyền lợi được hưởng:**

* Sẽ hỗ trợ đóng mộc sau khi kết thúc thực tập.
* Được đào tạo và hướng dẫn thực tế.
* Có cơ hội học hỏi, nâng cao kỹ năng chuyên môn.
* Môi trường làm việc thân thiện.
* **Có khả năng thăng tiến trở thành nhân viên chính thức**

**Yêu cầu bằng cấp (tối thiểu):** Trung học phổ thông

**Yêu cầu công việc:**

* Sinh viên nam thực tập chuyên ngành CNTT hoặc liên quan.
* Có kiến thức cơ bản về phần cứng, hệ thống, mạng.
* Chăm chỉ, có tinh thần học hỏi.
* Có trách nhiệm trong công việc.

**Yêu cầu giới tính:** Nam

**Ngành nghề:** Vận Hành IT \- IT Helpdesk


  

Trung học phổ thông
  

Không yêu cầu",IT Helpdesk,2026-08-05
Kỹ Sư Hệ Thống,CÔNG TY TNHH TECHVALLEY VIET NAM,"Thành phố Hồ Chí Minh, SG, VN",indeed,https://vn.indeed.com/viewjob?jk=33932c306e8cb2ba,"**Mô tả công việc:**


(Mức lương: Đến 18 triệu VNĐ)* TechValley đang tìm kiếm một Kỹ Sư Hệ Thống có năng lực để gia nhập văn phòng Hồ Chí Minh. Bạn sẽ chịu trách nhiệm toàn diện về môi trường hạ tầng \- thiết kế, triển khai và duy trì hệ thống ảo hóa, máy chủ Linux, hạ tầng mạng, giải pháp bảo mật, VPN, nền tảng đám mây và hệ thống lưu trữ. Đây là vị trí toàn thời gian, đòi hỏi kỹ thuật cao, dành cho ứng viên thích nghi tốt với môi trường công nghệ quốc tế năng động.
* Note: Vui lòng gửi CV Tiếng Anh (nếu có)
* Hỗ trợ kỹ thuật cho khách hàng thông qua các kênh trực tuyến (online) và trực tiếp (offline).
* Chẩn đoán, xử lý và giải quyết các sự cố kỹ thuật kịp thời.
* Phối hợp chặt chẽ với đội ngũ kỹ thuật nội bộ nhằm đảm bảo sự hài lòng của khách hàng.
* Thiết kế, triển khai và duy trì môi trường máy ảo (VMware, KVM, Hyper\-V hoặc tương đương)
* Quản lý vòng đời VM: tạo mới, mở rộng, snapshot, di chuyển và ngừng hoạt động
* Giám sát hiệu suất VM và tối ưu phân bổ tài nguyên
* Quản trị máy chủ Linux (CentOS, Ubuntu, RHEL hoặc Debian)
* Quản lý cấu hình hệ thống, cập nhật, vá lỗi và tăng cường bảo mật
* Xử lý sự cố ở cấp độ OS và tự động hóa tác vụ bằng shell script
* Thiết kế, cấu hình và duy trì hạ tầng LAN/WAN, VLAN, routing và switching
* Giám sát hiệu suất mạng và xử lý sự cố
* Quản lý DNS, DHCP và load balancing
* Cấu hình và quản lý chính sách Firewall (Palo Alto, Fortinet, pfSense hoặc tương đương)
* Triển khai và duy trì Web Application Firewall (WAF)
* Áp dụng các biện pháp bảo mật tốt nhất, kiểm tra định kỳ và ứng phó với mối đe dọa
* Đảm bảo tuân thủ quy định an ninh mạng của Việt Nam (NCS)
* Thiết lập và quản lý VPN site\-to\-site và remote access (IPSec, SSL hoặc TLS, OpenVPN hoặc tương đương)
* Duy trì kết nối an toàn và ổn định cho hệ thống nội bộ và khách hàng
* Quản lý môi trường đám mây (AWS, Azure, GCP hoặc cloud provider Việt Nam)
* Hỗ trợ chiến lược multi\-cloud: cung cấp tài nguyên, tối ưu chi phí và giám sát
* Tham gia các dự án di chuyển lên cloud
* Quản lý hệ thống SAN/NAS/object storage và giải pháp backup
* Giám sát dung lượng, hiệu suất và tính sẵn sàng của lưu trữ
* Triển khai chiến lược khôi phục thảm họa và dự phòng dữ liệu

**Chức vụ:** Nhân Viên/Chuyên Viên

**Hình thức làm việc:** Toàn thời gian

**Quyền lợi được hưởng:**

* Lên vị trí chính thức sau 2 tháng thử việc
* Cấp thiết bị làm việc đảm bảo hiệu suất công việc
* Lương tháng 13 (Thưởng Tết)
* Đóng BHXH, BHYT, BHTN đầy đủ
* Hưởng các quyền lợi lao động theo pháp luật Việt Nam
* Du lịch hàng năm, Team Building, Team Dinner, các hoạt động gắn kết team của công ty,...
* Lương thỏa thuận theo năng lực và kinh nghiệm.
* Thưởng hiệu suất và thưởng theo kết quả kinh doanh.
* Xét tăng lương định kỳ.
* Bảo hiểm sức khỏe bổ sung.
* Khám sức khỏe định kỳ hằng năm.

**Yêu cầu bằng cấp (tối thiểu):** Trung cấp \- Nghề

**Yêu cầu công việc:**

* Tiếng Việt: Bản ngữ / Thành thạo (bắt buộc — phải là công dân Việt Nam)
* Tiếng Anh: Đọc, viết và giao tiếp tốt (bắt buộc)
* Kinh nghiệm thực tế với một hoặc nhiều lĩnh vực: quản lý VM, Linux OS, Mạng, Bảo mật, VPN, Cloud, hoặc Lưu trữ
* Quen thuộc với các nền tảng ảo hóa (VMware ESXi, KVM, Proxmox hoặc tương tự)
* Thành thạo dòng lệnh Linux
* Hiểu biết về TCP/IP, giao thức định tuyến và bảo mật mạng
* Kinh nghiệm với các công cụ bảo mật: Firewall, WAF, IDS/IPS
* Kiến thức về các nền tảng đám mây (AWS, Azure, GCP) là lợi thế
* Có kỹ năng giao tiếp và kỹ năng làm việc với khách hàng tốt.
* Có tư duy hướng đến khách hàng và khả năng giải thích các vấn đề kỹ thuật một cách rõ ràng, dễ hiểu.
* Ưu tiên ứng viên có từ 2 năm kinh nghiệm trở lên trong lĩnh vực kỹ thuật hệ thống/mạng/hạ tầng
* Kinh nghiệm làm việc trong môi trường công ty đa quốc gia hoặc FDI là lợi thế
* Làm việc toàn thời gian tại văn phòng TechValley TP. Hồ Chí Minh
* Kỹ năng giải quyết vấn đề tốt, có thể làm việc độc lập
* Tư duy chủ động trong giao tiếp và hợp tác nhóm

**Yêu cầu giới tính:** Nam/Nữ

**Ngành nghề:** An Toàn Thông Tin \- An Ninh Mạng,DevOps \- Cloud,Hạ Tầng \- Mạng,Lập Trình \- Phát Triển Phần Mềm,Vận Hành \- Bảo Trì \- Sửa Chữa,Vận Hành IT \- IT Helpdesk


  

Trung cấp \- Nghề
  

Không yêu cầu",IT Helpdesk,2026-08-05
IT Manager _ Mekong Capital,Mekong Capital,"Thành phố Hồ Chí Minh, SG, VN",indeed,https://vn.indeed.com/viewjob?jk=e8ec6f1c6c849f05,"**I. Key Accountabilities:**

The IT Manager is the accountable owner for the stable, secure, and continuous day\-to\-day operation of Mekong's IT systems, ensuring that approved IT solutions are delivered and run reliably to support daily business operations.


The IT Manager owns the key results of the IT function.

**1\. IT Infrastructure \& Operations:**

* **Lead full accountability** for the operation of all IT systems, servers, networks, hardware, software, and applications across the organization (HCM \& HN).
* Oversee cloud and platform services (e.g., Microsoft 365, SharePoint, Notion, Trello, BI, etc.) and **ensure their stable, secure, and reliable day\-to\-day operation**.
* **Ensure system availability, performance, operational stability, and business continuity** for both office\-based and remote users.
* Be accountable for **incident management, root cause analysis, and timely resolution** of system outages or major IT issues.

**2\. Cybersecurity \& Risk Management:**

* Enforce cybersecurity policies, standards, and operational controls across all IT systems.
* **Lead the execution and effectiveness** of endpoint protection, data backup, disaster recovery, and incident response.
* Ensure backup and recovery processes are tested and effective to support business continuity.
* Coordinate vulnerability assessments, penetration testing, and remediation actions with security partners and vendors.

**3\. User Support \& Training:**

* **Lead the quality and effectiveness of IT user support services**, including helpdesk operations (in\-house or outsourced).
* Ensure timely resolution of IT incidents related to hardware, software, video conferencing, and remote access.
* Ensure consistent IT onboarding and essential user training to enable effective system usage across the organization.

**4\. Vendor \& Budget Management:**

* Manage operational relationships with IT service providers and software vendors.
* **Lead contract execution, SLA compliance, service performance, renewals, and cost control**.
* Be accountable for vendor delivery quality and alignment with agreed operational requirements.
* Support budgeting, payment requests, and periodic vendor performance reviews.

**5\. Systems \& Compliance:**

* **Lead the operation and ongoing reliability** of fund management–specific systems (e.g., CRM, data rooms, portfolio monitoring tools).
* Ensure systems are operated in compliance with data privacy regulations and internal policies.
* Act as the IT point of accountability in supporting internal and external audits from a technology and systems operation perspective.

**6\. Digital Enablement \& Project Execution:**

* Execute and roll out approved digital, automation, and AI\-related initiatives in alignment with company strategy defined by leadership.
* Coordinate internal IT resources and vendors to deliver digital solutions effectively.
* Ensure deployed solutions are operationally stable, secure, and adopted by users.
* Monitor post\-implementation effectiveness and support continuous improvement from an operational perspective.

**7\. Other Taks:**

* Handle administrative task related to your activities (contract with vendors, making payment request, etc)
* Other tasks requested by Partners or Directors

**II. Key Requirements:**

* **Minimum 3–5 years of experience in an IT Manager or IT Head role**, with full ownership of end‑to‑end IT operations, including systems, infrastructure, cloud environments, system uptime, and incident management.
* Proven ability to **work with C‑suite stakeholders (CEO/Director)**, with a thorough approach to understanding requirements, accurately capturing details, and proactively clarifying any unclear points before execution.
* Demonstrated **leadership and ownership**, including managing IT staff and/or external vendors and taking accountability when issues arise.
* Solid understanding of **enterprise IT architecture** and modern delivery practices (e.g. Agile) is a strong advantage.
* Fluent English Communications.
* **Results‑oriented**: Focuses on outcomes, takes ownership, and delivers commitments end to end
* **Question \& Discovery mindset**: Asks the right questions to thoroughly understand requirements and clarify expectations.
* **Solution‑driven**: Converts issues and requirements into practical, effective solutions.",IT Helpdesk,2026-08-04
Nhân Viên CNTT - Không Yêu Cầu Kinh Nghiệm,jobsgo recruit,"Thành phố Hồ Chí Minh, SG, VN",indeed,https://vn.indeed.com/viewjob?jk=22c478ffb183f8d9,"**Mô tả công việc:**


(Mức lương: Từ 7 triệu VNĐ)* Tiếp nhận, ghi nhận và phân tích nhu cầu xây dựng Website/Phần mềm từ khách hàng.
* Tư vấn về giao diện, màu sắc, tính năng và giải pháp phù hợp với từng doanh nghiệp.
* Chuẩn bị tài liệu đặc tả yêu cầu (Business Requirement) để chuyển cho đội ngũ IT Developer.
* Demo giao diện, kiểm thử Website/App và theo dõi quá trình xử lý lỗi.
* Phối hợp với đội ngũ lập trình trong suốt quá trình triển khai dự án.
* Hướng dẫn khách hàng sử dụng Website.
* Hỗ trợ quản trị Website, gia hạn, nâng cấp và chăm sóc khách hàng sau bàn giao.
* Hỗ trợ tối ưu Website theo các tiêu chí SEO cơ bản.
* Thực hiện các công việc khác theo sự phân công của quản lý.

**Chức vụ:** Nhân Viên/Chuyên Viên

**Hình thức làm việc:** Toàn thời gian

**Quyền lợi được hưởng:**

* Thu nhập: Từ 7\.000\.000 đồng/tháng (trao đổi theo năng lực khi phỏng vấn).
* Được đào tạo bài bản về quy trình triển khai Website.
* Tham gia trực tiếp các dự án Website và phần mềm dành cho doanh nghiệp.
* Làm việc trong môi trường công nghệ trẻ trung, chuyên nghiệp và năng động.
* Được hướng dẫn trực tiếp bởi Project Leader.
* Tham gia các hoạt động nội bộ, team building và các chế độ của công ty theo quy định.

**Yêu cầu bằng cấp (tối thiểu):** Cao Đẳng

**Yêu cầu công việc:**

* **Sinh viên năm cuối hoặc mới tốt nghiệp các ngành Công nghệ thông tin, Hệ thống thông tin, Thương mại điện tử hoặc các ngành liên quan.**
* Có kiến thức cơ bản về Website, Web PHP, App hoặc UI/UX là một lợi thế.
* Có khả năng giao tiếp, tư vấn và làm việc với khách hàng.
* Thành thạo tin học văn phòng.
* Có tinh thần học hỏi, chủ động và trách nhiệm trong công việc.
* Có khả năng làm việc nhóm

**Yêu cầu giới tính:** Nam/Nữ

**Ngành nghề:** Dữ Liệu \- AI \- Học Máy,Kiểm Thử Phần Mềm,Lập Trình \- Phát Triển Phần Mềm,Triển Khai Giải Pháp IT,Vận Hành IT \- IT Helpdesk


  

Cao Đẳng
  

Không yêu cầu",IT Helpdesk,2026-08-04
