Page,Paragraph_ID,Word_Count,Open_Codes,Original_Text_Snippet,Emergent_Theme
3,P3_1,535,Access layer abstraction; Resilient infrastructure; Security protection boundary; Power over Ethernet delivery,© 2020 Cisco and/or its affiliates. All rights reserved. Page 3 of 76 Definition and Introduction: Campus LAN and Wireless LAN There is a tendency to ...,Theme 2: Network Resiliency & High Availability; Theme 1: Layered & Modular Architecture; Theme 3: Security Segmentation & Boundary Defense
4,P4_1,294,Security protection boundary; Guest access isolation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 4 of 76 ● The network platforms deployed today should offer the best longevity into the ...,Theme 3: Security Segmentation & Boundary Defense
5,P5_1,594,Access layer abstraction; Distribution layer aggregation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 5 of 76 Design: Campus LAN and Wireless LAN Designing a LAN for the campus use case is n...,Theme 1: Layered & Modular Architecture
6,P6_1,327,Hierarchical design model; Access layer abstraction; Distribution layer aggregation; Core layer transport; Resilient infrastructure,© 2020 Cisco and/or its affiliates. All rights reserved. Page 6 of 76 Design Fundamentals: Campus Wired LAN The LAN is the networking infrastructure t...,Theme 2: Network Resiliency & High Availability; Theme 1: Layered & Modular Architecture
7,P7_1,166,Access layer abstraction; Distribution layer aggregation; Resilient infrastructure; Security protection boundary,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 7 of 76 LAN hierarchical design Figure 1. Each layer —access, distribution, and core— pr...",Theme 2: Network Resiliency & High Availability; Theme 1: Layered & Modular Architecture; Theme 3: Security Segmentation & Boundary Defense
8,P8_1,454,Access layer abstraction; Logical network/VLAN separation; Resilient infrastructure; Security protection boundary; Power over Ethernet delivery,© 2020 Cisco and/or its affiliates. All rights reserved. Page 8 of 76 Access layer connectivity Figure 3. ● Device connectivity—The access layer provi...,Theme 2: Network Resiliency & High Availability; Theme 1: Layered & Modular Architecture; Theme 3: Security Segmentation & Boundary Defense
9,P9_1,429,General infrastructure capability,© 2020 Cisco and/or its affiliates. All rights reserved. Page 9 of 76 the speed at which the port will be operating. Although an mGig switch port may ...,General Infrastructure Theme
10,P10_1,513,Access layer abstraction,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 10 of 76 When adding additional access layer switches in a stackable configuration, you ...",Theme 1: Layered & Modular Architecture
11,P11_1,461,Access layer abstraction; Distribution layer aggregation,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 11 of 76 switch of the stack fails, you don’t have a double failure – meaning that you l...",Theme 1: Layered & Modular Architecture
12,P12_1,661,Access layer abstraction; Distribution layer aggregation,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 12 of 76 For example, instead of deploying four 48-port switches with fixed 4 x 10 Gbps ...",Theme 1: Layered & Modular Architecture
13,P13_1,464,Access layer abstraction; Distribution layer aggregation; Resilient infrastructure,© 2020 Cisco and/or its affiliates. All rights reserved. Page 13 of 76 traffic which is more susceptible to packet loss – such as voice traffic – is g...,Theme 2: Network Resiliency & High Availability; Theme 1: Layered & Modular Architecture
14,P14_1,162,Access layer abstraction; Distribution layer aggregation; Core layer transport,© 2020 Cisco and/or its affiliates. All rights reserved. Page 14 of 76 edge may reside on a distribution layer switch that also aggregates the LAN acc...,Theme 1: Layered & Modular Architecture
15,P15_1,309,Access layer abstraction; Distribution layer aggregation; Core layer transport,© 2020 Cisco and/or its affiliates. All rights reserved. Page 15 of 76 ● Network resilience is a factor when all LAN and network-based services rely o...,Theme 1: Layered & Modular Architecture
16,P16_1,245,Access layer abstraction; Distribution layer aggregation; Core layer transport; Resilient infrastructure,© 2020 Cisco and/or its affiliates. All rights reserved. Page 16 of 76 In environments where multiple distribution layer switches exist in close proxi...,Theme 2: Network Resiliency & High Availability; Theme 1: Layered & Modular Architecture
17,P17_1,378,Access layer abstraction; Distribution layer aggregation; Core layer transport,© 2020 Cisco and/or its affiliates. All rights reserved. Page 17 of 76 Oversubscription between the distribution and core layer switches – 40 Gbps upl...,Theme 1: Layered & Modular Architecture
18,P18_1,219,Access layer abstraction; Distribution layer aggregation; Core layer transport,© 2020 Cisco and/or its affiliates. All rights reserved. Page 18 of 76 Oversubscription between the distribution and core layer switches – 100 Gbps up...,Theme 1: Layered & Modular Architecture
19,P19_1,573,Access layer abstraction; Distribution layer aggregation; Logical network/VLAN separation; Resilient infrastructure; Spanning-tree loop containment,© 2020 Cisco and/or its affiliates. All rights reserved. Page 19 of 76 Design Options: Campus Wired LAN When you scale from a single switch in a campu...,Theme 2: Network Resiliency & High Availability; Theme 4: Access Port Stability & Rogue Mitigation; Theme 1: Layered & Modular Architecture; Theme 3: Security Segmentation & Boundary Defense
20,P20_1,248,Access layer abstraction; Distribution layer aggregation; Logical network/VLAN separation; Spanning-tree loop containment,© 2020 Cisco and/or its affiliates. All rights reserved. Page 20 of 76 Traditional looped design with VLANs spanning access switches Figure 13. Tradit...,Theme 4: Access Port Stability & Rogue Mitigation; Theme 1: Layered & Modular Architecture; Theme 3: Security Segmentation & Boundary Defense
21,P21_1,379,Access layer abstraction; Distribution layer aggregation; Logical network/VLAN separation; Spanning-tree loop containment,© 2020 Cisco and/or its affiliates. All rights reserved. Page 21 of 76 between the Layer 2 access ports and outbound Layer 3 connectivity. The benefit...,Theme 4: Access Port Stability & Rogue Mitigation; Theme 1: Layered & Modular Architecture; Theme 3: Security Segmentation & Boundary Defense
22,P22_1,457,Access layer abstraction; Distribution layer aggregation; Logical network/VLAN separation; Resilient infrastructure; Security protection boundary; Spanning-tree loop containment,© 2020 Cisco and/or its affiliates. All rights reserved. Page 22 of 76 Simplified distribution design with VLANs spanning access switches Figure 17. E...,Theme 2: Network Resiliency & High Availability; Theme 4: Access Port Stability & Rogue Mitigation; Theme 1: Layered & Modular Architecture; Theme 3: Security Segmentation & Boundary Defense
23,P23_1,228,General infrastructure capability,© 2020 Cisco and/or its affiliates. All rights reserved. Page 23 of 76 Cisco SD-Access campus design Figure 18. Beyond traditional network virtualizat...,General Infrastructure Theme
25,P25_1,579,Logical network/VLAN separation; Security protection boundary; DHCP Snooping mitigation; Spanning-tree loop containment,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 25 of 76 Design Fundamentals: LAN Security Best Practices With any good network design, ...",Theme 4: Access Port Stability & Rogue Mitigation; Theme 3: Security Segmentation & Boundary Defense
26,P26_1,176,Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 26 of 76  Authentication server – This is a RADIUS server that validates the credential...,Theme 3: Security Segmentation & Boundary Defense
27,P27_1,541,Resilient infrastructure; Spanning-tree loop containment,© 2020 Cisco and/or its affiliates. All rights reserved. Page 27 of 76 Design Fundamentals: LAN High Availability To mitigate the concerns about unava...,Theme 2: Network Resiliency & High Availability; Theme 4: Access Port Stability & Rogue Mitigation
28,P28_1,493,Resilient infrastructure; Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 28 of 76 StackWise Virtual Technology Figure 20. In order to bond the two switches toget...,Theme 2: Network Resiliency & High Availability; Theme 3: Security Segmentation & Boundary Defense
29,P29_1,599,Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 29 of 76 EtherChannel EtherChannel allows multiple physical Ethernet links to combine in...,Theme 3: Security Segmentation & Boundary Defense
30,P30_1,339,Power over Ethernet delivery,© 2020 Cisco and/or its affiliates. All rights reserved. Page 30 of 76 Note: Fast software upgrade is supported only on access switches with a single ...,Theme 2: Network Resiliency & High Availability
31,P31_1,265,Resilient infrastructure; Security protection boundary; Guest access isolation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 31 of 76 Design Fundamentals: Campus Wireless LAN The campus WLAN provides ubiquitous da...,Theme 2: Network Resiliency & High Availability; Theme 3: Security Segmentation & Boundary Defense
32,P32_1,433,Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 32 of 76 Cisco Catalyst 9800 Series wireless controllers Cisco Catalyst 9800 Series wire...,Theme 3: Security Segmentation & Boundary Defense
33,P33_1,294,General infrastructure capability,© 2020 Cisco and/or its affiliates. All rights reserved. Page 33 of 76 Platform Deployment Mode Preferred Topology Maximum APs Maximum Clients Control...,General Infrastructure Theme
36,P36_1,430,Resilient infrastructure; Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 36 of 76 Cisco Catalyst 9100 Series APs Cisco Catalyst 9100 Series APs can handle the ch...,Theme 2: Network Resiliency & High Availability; Theme 3: Security Segmentation & Boundary Defense
37,P37_1,398,Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 37 of 76 Cisco Catalyst 9115AX Cisco Catalyst 9117AX Cisco Catalyst 9120AX Cisco Catalys...,Theme 3: Security Segmentation & Boundary Defense
39,P39_1,294,Distribution layer aggregation; Logical network/VLAN separation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 39 of 76 Cisco DNA Spaces network architectures Figure 27. An on premises deployment of ...,Theme 1: Layered & Modular Architecture; Theme 3: Security Segmentation & Boundary Defense
40,P40_1,264,Distribution layer aggregation; Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 40 of 76 Local-mode design model Figure 28. A centralized architecture uses the controll...,Theme 1: Layered & Modular Architecture; Theme 3: Security Segmentation & Boundary Defense
41,P41_1,255,Logical network/VLAN separation; Guest access isolation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 41 of 76 Cisco FlexConnect design model Cisco FlexConnect is a wireless solution primari...,Theme 3: Security Segmentation & Boundary Defense
42,P42_1,435,Resilient infrastructure,© 2020 Cisco and/or its affiliates. All rights reserved. Page 42 of 76 ● You have an existing local-mode controller pair at the same site as your WAN ...,Theme 2: Network Resiliency & High Availability
44,P44_1,235,Guest access isolation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 44 of 76 Cisco EWC wireless design model Figure 31. The Cisco EWC platform provides the ...,Theme 3: Security Segmentation & Boundary Defense
47,P47_1,531,Resilient infrastructure,© 2020 Cisco and/or its affiliates. All rights reserved. Page 47 of 76 of wireless network outages are just as impactful as outages of the wired netwo...,Theme 2: Network Resiliency & High Availability
48,P48_1,453,Logical network/VLAN separation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 48 of 76 WLAN controller link aggregation Cisco wireless controller appliances have mult...,Theme 3: Security Segmentation & Boundary Defense
49,P49_1,441,Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 49 of 76 Preferred redundancy - Single Cisco Catalyst 9800 controller connected to redun...,Theme 3: Security Segmentation & Boundary Defense
50,P50_1,347,General infrastructure capability,© 2020 Cisco and/or its affiliates. All rights reserved. Page 50 of 76 Support for new AP models using Access Point Device Packs (APDPs) Beginning wit...,General Infrastructure Theme
51,P51_1,282,Security protection boundary; Guest access isolation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 51 of 76 Remote sites that use Cisco FlexConnect local switching mode can also benefit f...,Theme 3: Security Segmentation & Boundary Defense
52,P52_1,174,Logical network/VLAN separation; Security protection boundary; Guest access isolation,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 52 of 76 Cisco FlexConnect guest deployments For Cisco FlexConnect guest deployments, th...",Theme 3: Security Segmentation & Boundary Defense
53,P53_1,581,Logical network/VLAN separation; Guest access isolation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 53 of 76 encapsulated right from the fabric edge node to the Guest Border/Control Plane ...,Theme 3: Security Segmentation & Boundary Defense
55,P55_1,399,Logical network/VLAN separation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 55 of 76 Bonjour deployment limitation in enterprise networks Figure 41. The Bonjour Gat...,Theme 3: Security Segmentation & Boundary Defense
56,P56_1,421,General infrastructure capability,© 2020 Cisco and/or its affiliates. All rights reserved. Page 56 of 76 Cisco AVC on the Cisco Catalyst 9800 Series wireless LAN controllers inherits N...,General Infrastructure Theme
62,P62_1,624,Security protection boundary,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 62 of 76 For additional details, visit cisco.com and search for the Cisco CleanAir Techn...",Theme 3: Security Segmentation & Boundary Defense
63,P63_1,671,Security protection boundary; Guest access isolation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 63 of 76 accounting may be used to provide an audit trail of each employee’s access to t...,Theme 3: Security Segmentation & Boundary Defense
64,P64_1,550,Logical network/VLAN separation; Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 64 of 76 also be extended to provide RBAC for administrators through the use of AD group...,Theme 3: Security Segmentation & Boundary Defense
65,P65_1,423,Access layer abstraction; Power over Ethernet delivery,© 2020 Cisco and/or its affiliates. All rights reserved. Page 65 of 76 Deployment Platform Choices: Campus Wired and Wireless LAN An organization choo...,Theme 2: Network Resiliency & High Availability; Theme 1: Layered & Modular Architecture
66,P66_1,429,Access layer abstraction; Distribution layer aggregation; Power over Ethernet delivery,© 2020 Cisco and/or its affiliates. All rights reserved. Page 66 of 76 Enterprise Class—base foundation network capabilities Advanced—foundation plus ...,Theme 2: Network Resiliency & High Availability; Theme 1: Layered & Modular Architecture
67,P67_1,382,Access layer abstraction; Distribution layer aggregation; Core layer transport,© 2020 Cisco and/or its affiliates. All rights reserved. Page 67 of 76 Enterprise Class—base foundation network capabilities Advanced—foundation plus ...,Theme 1: Layered & Modular Architecture
69,P69_1,498,Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 69 of 76 Operate: Common Components in Campus Designs Device management using Cisco ISE ...,Theme 3: Security Segmentation & Boundary Defense
71,P71_1,494,General infrastructure capability,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 71 of 76 Network Analysis Module support For increased visibility into your network, Cis...",General Infrastructure Theme
