Asset_ID,Asset_Name,Category,Quantity,Owner,Physical_Location,Criticality,Network_Dependency
AST-01,Software Developer PCs,Endpoints,80,Dev Team,Floor 2,High,"High Bandwidth, Subnet Isolation"
AST-02,Quality Assurance PCs,Endpoints,20,QA Team,Floor 2,Medium,"Staging Access, Subnet Isolation"
AST-03,HR Workstations,Endpoints,10,HR Dept,Floor 1,High,"Secure Access, Restricted Subnet"
AST-04,Finance Workstations,Endpoints,10,Finance Dept,Floor 1,Critical,"Strict ACLs, Encrypted Gateway"
AST-05,Executive Laptops,Endpoints,10,Management,Floor 3,High,"Privileged Access, Secure Wi-Fi"
AST-06,Floor Access Switches,Infrastructure,3,IT Infrastructure,Floors 1-3 Racks,Critical,"PoE+ Support, Trunking, Port Security"
AST-07,Collapsed Core L3 Switches,Infrastructure,2,IT Infrastructure,Floor 3 Server Room,Critical,"High-Density Routing, Redundancy"
AST-08,Enterprise Wireless APs,Infrastructure,6,IT Infrastructure,Floors 1-3 Ceiling,High,"Continuous PoE, Multi-SSID VLAN Mapping"
AST-09,CCTV Security Cameras,IoT & Security,16,Physical Security,Floors 1-3 Perimeter,Medium,"Continuous PoE, Isolated Video Subnet"
AST-10,Corporate IP Phones,Endpoints,20,All Departments,Floors 1-3 Desks,Medium,"PoE Power, Voice QoS, Dedicated VLAN"
AST-11,Git Repository & CI/CD Server,Servers,2,DevOps,Floor 3 Server Room,Critical,"High Bandwidth, Developer Access Only"
AST-12,ERP & Accounting Server,Servers,1,Finance / IT,Floor 3 Server Room,Critical,"Strict ACL Control, Finance/HR Access Only"
AST-13,Guest Devices,External / Guest,50,Visitors / Contractors,Floor 1 Reception,Low,"Internet-only Access, Complete Isolation"
